ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	simulations.ScenarioAssertions	scenarioassertions	1593957846257	 	3.3.1
USER	Fixed Duration Load Simulation	7	START	1593957853668	1593957853668
USER	Fixed Duration Load Simulation	3	START	1593957853666	1593957853666
USER	Fixed Duration Load Simulation	4	START	1593957853682	1593957853682
USER	Fixed Duration Load Simulation	8	START	1593957853670	1593957853670
USER	Fixed Duration Load Simulation	6	START	1593957853672	1593957853672
USER	Fixed Duration Load Simulation	9	START	1593957853673	1593957853673
USER	Fixed Duration Load Simulation	11	START	1593957853681	1593957853681
USER	Fixed Duration Load Simulation	5	START	1593957853667	1593957853667
USER	Fixed Duration Load Simulation	2	START	1593957853666	1593957853666
USER	Fixed Duration Load Simulation	10	START	1593957853680	1593957853680
USER	Fixed Duration Load Simulation	1	START	1593957853667	1593957853667
REQUEST	4		Get all Emp	1593957853763	1593957853860	OK	 
REQUEST	8		Get all Emp	1593957853764	1593957853839	OK	 
REQUEST	7		Get all Emp	1593957853764	1593957853832	OK	 
REQUEST	11		Get all Emp	1593957853764	1593957853835	OK	 
REQUEST	5		Get all Emp	1593957853764	1593957853836	OK	 
REQUEST	1		Get all Emp	1593957853785	1593957853832	OK	 
REQUEST	6		Get all Emp	1593957853764	1593957853835	OK	 
REQUEST	10		Get all Emp	1593957853775	1593957853832	OK	 
REQUEST	3		Get all Emp	1593957853764	1593957853891	OK	 
REQUEST	9		Get all Emp	1593957853764	1593957853894	OK	 
REQUEST	2		Get all Emp	1593957853775	1593957853896	OK	 
USER	Fixed Duration Load Simulation	12	START	1593957854165	1593957854165
REQUEST	12		Get all Emp	1593957854166	1593957854175	OK	 
USER	Fixed Duration Load Simulation	13	START	1593957854665	1593957854665
REQUEST	13		Get all Emp	1593957854665	1593957854675	OK	 
USER	Fixed Duration Load Simulation	14	START	1593957855165	1593957855165
REQUEST	14		Get all Emp	1593957855166	1593957855181	OK	 
USER	Fixed Duration Load Simulation	15	START	1593957855666	1593957855666
REQUEST	15		Get all Emp	1593957855667	1593957855678	OK	 
USER	Fixed Duration Load Simulation	16	START	1593957856667	1593957856667
REQUEST	16		Get all Emp	1593957856668	1593957856681	OK	 
USER	Fixed Duration Load Simulation	17	START	1593957857176	1593957857176
REQUEST	17		Get all Emp	1593957857177	1593957857193	OK	 
USER	Fixed Duration Load Simulation	18	START	1593957857675	1593957857675
REQUEST	18		Get all Emp	1593957857677	1593957857689	OK	 
USER	Fixed Duration Load Simulation	19	START	1593957858177	1593957858177
REQUEST	19		Get all Emp	1593957858178	1593957858201	OK	 
USER	Fixed Duration Load Simulation	20	START	1593957858675	1593957858675
REQUEST	20		Get all Emp	1593957858677	1593957858687	OK	 
REQUEST	8		Get Specific Emp	1593957858868	1593957858888	OK	 
REQUEST	5		Get Specific Emp	1593957858868	1593957858889	OK	 
REQUEST	1		Get Specific Emp	1593957858868	1593957858889	OK	 
REQUEST	11		Get Specific Emp	1593957858868	1593957858891	OK	 
REQUEST	6		Get Specific Emp	1593957858868	1593957858890	OK	 
REQUEST	7		Get Specific Emp	1593957858868	1593957858895	OK	 
REQUEST	10		Get Specific Emp	1593957858877	1593957858896	OK	 
REQUEST	4		Get Specific Emp	1593957858898	1593957858914	OK	 
REQUEST	3		Get Specific Emp	1593957858906	1593957858919	OK	 
REQUEST	9		Get Specific Emp	1593957858916	1593957858925	OK	 
REQUEST	2		Get Specific Emp	1593957858916	1593957858933	OK	 
REQUEST	12		Get Specific Emp	1593957859197	1593957859207	OK	 
USER	Fixed Duration Load Simulation	21	START	1593957859677	1593957859677
REQUEST	21		Get all Emp	1593957859678	1593957859692	OK	 
REQUEST	13		Get Specific Emp	1593957859686	1593957859700	OK	 
USER	Fixed Duration Load Simulation	22	START	1593957860177	1593957860177
REQUEST	22		Get all Emp	1593957860178	1593957860198	OK	 
REQUEST	14		Get Specific Emp	1593957860195	1593957860203	OK	 
USER	Fixed Duration Load Simulation	23	START	1593957860678	1593957860678
REQUEST	23		Get all Emp	1593957860679	1593957860698	OK	 
REQUEST	15		Get Specific Emp	1593957860696	1593957860713	OK	 
USER	Fixed Duration Load Simulation	24	START	1593957861167	1593957861167
REQUEST	24		Get all Emp	1593957861168	1593957861181	OK	 
